epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,2.029854,0.271667,1.954204,0.233261,0.001,1.6247
2,1.665242,0.424167,1.694009,0.447084,0.001,1.504
3,1.327767,0.581667,1.54556,0.460043,0.001,1.5314
4,1.099206,0.681667,1.427237,0.539957,0.001,1.537
5,0.854892,0.7625,1.320034,0.548596,0.001,1.4351
6,0.674869,0.845,1.694838,0.444924,0.001,1.4526
7,0.545334,0.883333,1.638267,0.455724,0.001,1.5034
8,0.447629,0.9025,1.548621,0.490281,0.0005,1.4812
9,0.305705,0.943333,1.402676,0.585313,0.0005,1.4833
